SeriesID,Industry,Metric,Source,Unit,Year,Period,PeriodName,Value,Footnotes
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2015,M01,January,134,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2015,M02,February,101,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2015,M03,March,138,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2015,M04,April,145,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2015,M05,May,131,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2015,M06,June,146,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2015,M07,July,131,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2015,M08,August,122,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2015,M09,September,124,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2015,M10,October,134,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2015,M11,November,140,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2015,M12,December,145,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2016,M01,January,151,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2016,M02,February,146,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2016,M03,March,139,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2016,M04,April,135,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2016,M05,May,127,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2016,M06,June,130,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2016,M07,July,119,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2016,M08,August,138,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2016,M09,September,123,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2016,M10,October,144,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2016,M11,November,123,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2016,M12,December,131,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2017,M01,January,158,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2017,M02,February,113,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2017,M03,March,154,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2017,M04,April,134,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2017,M05,May,150,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2017,M06,June,136,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2017,M07,July,141,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2017,M08,August,133,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2017,M09,September,131,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2017,M10,October,150,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2017,M11,November,130,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2017,M12,December,131,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2018,M01,January,148,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2018,M02,February,136,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2018,M03,March,121,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2018,M04,April,126,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2018,M05,May,133,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2018,M06,June,149,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2018,M07,July,128,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2018,M08,August,131,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2018,M09,September,160,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2018,M10,October,125,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2018,M11,November,133,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2018,M12,December,146,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2019,M01,January,109,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2019,M02,February,134,
