Date,Year,Month,State,UnemploymentRate,LaborForce,Employment_LAUS
2015-04-01,2015,4,Colorado,4.0,2811615.0,2700190.0
2015-04-01,2015,4,Connecticut,5.7,1910119.0,1800501.0
2015-04-01,2015,4,Delaware,4.9,460259.0,437613.0
2015-04-01,2015,4,District of Columbia,7.1,380227.0,353070.0
2015-04-01,2015,4,Florida,5.7,9569380.0,9023183.0
2015-04-01,2015,4,Georgia,6.2,4735953.0,4440239.0
2015-04-01,2015,4,Hawaii,3.6,681613.0,657239.0
2015-04-01,2015,4,Idaho,3.9,795780.0,764464.0
2015-04-01,2015,4,Illinois,6.0,6544294.0,6149640.0
2015-04-01,2015,4,Indiana,5.0,3252300.0,3090897.0
2015-04-01,2015,4,Iowa,3.8,1706203.0,1642018.0
2015-04-01,2015,4,Kansas,4.4,1497182.0,1431866.0
2015-04-01,2015,4,Kentucky,5.3,1982464.0,1877847.0
2015-04-01,2015,4,Louisiana,6.5,2160724.0,2020626.0
2015-04-01,2015,4,Maine,4.6,692064.0,660181.0
2015-04-01,2015,4,Maryland,5.2,3167278.0,3002031.0
2015-04-01,2015,4,Massachusetts,5.0,3626445.0,3446745.0
2015-04-01,2015,4,Michigan,5.7,4766275.0,4494470.0
2015-04-01,2015,4,Minnesota,3.8,3014026.0,2898454.0
2015-04-01,2015,4,Mississippi,6.6,1257989.0,1175386.0
2015-04-01,2015,4,Missouri,5.5,3051973.0,2885247.0
2015-04-01,2015,4,Montana,4.2,519870.0,497907.0
2015-04-01,2015,4,Nebraska,3.0,1012259.0,982306.0
2015-04-01,2015,4,Nevada,7.1,1393710.0,1294093.0
2015-04-01,2015,4,New Hampshire,3.6,749781.0,722492.0
2015-04-01,2015,4,New Jersey,6.1,4601645.0,4319441.0
2015-04-01,2015,4,New Mexico,6.7,942216.0,879300.0
2015-04-01,2015,4,New York,5.5,9740242.0,9204589.0
2015-04-01,2015,4,North Carolina,5.8,4700619.0,4427027.0
2015-04-01,2015,4,North Dakota,2.8,413654.0,402259.0
2015-04-01,2015,4,Ohio,5.1,5727608.0,5436356.0
2015-04-01,2015,4,Oklahoma,4.3,1827272.0,1748825.0
2015-04-01,2015,4,Oregon,5.6,1964359.0,1853504.0
2015-04-01,2015,4,Pennsylvania,5.5,6461555.0,6104015.0
2015-04-01,2015,4,Rhode Island,6.3,566925.0,531331.0
2015-04-01,2015,4,South Carolina,6.2,2240573.0,2100758.0
2015-04-01,2015,4,South Dakota,3.1,449658.0,435586.0
2015-04-01,2015,4,Tennessee,5.8,3074122.0,2894532.0
2015-04-01,2015,4,Texas,4.4,12997813.0,12420862.0
2015-04-01,2015,4,Utah,3.5,1453518.0,1402347.0
2015-04-01,2015,4,Vermont,3.5,352923.0,340437.0
